const_parse	dep_parse	ner	question	questionid	storyid
"(ROOT
  (SBARQ
    (WHADVP (WRB When))
    (SQ (VBD did)
      (NP (PRP they))
      (VP (VB wake)))
    (. ?)))"	"When	WRB	4	advmod
did	VBD	4	aux
they	PRP	4	nsubj
wake	VB	0	ROOT
?	.	4	punct
"	[]	When did they wake?	006536d7-2be3-49a4-a750-769684e952ed_Q0	006536d7-2be3-49a4-a750-769684e952ed
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (PRP they))
      (VP (VB hear)))
    (. ?)))"	"What	WP	4	dobj
did	VBD	4	aux
they	PRP	4	nsubj
hear	VB	0	ROOT
?	.	4	punct
"	[]	What did they hear?	006536d7-2be3-49a4-a750-769684e952ed_Q1	006536d7-2be3-49a4-a750-769684e952ed
"(ROOT
  (SBARQ
    (WHADVP (WRB Where))
    (SQ (VBD was)
      (NP
        (NP (DT the) (JJ sound) (VBG coming))
        (PP (IN from))))
    (. ?)))"	"Where	WRB	5	advmod
was	VBD	5	aux
the	DT	4	det
sound	JJ	5	nsubj
coming	VBG	0	ROOT
from	IN	5	nmod
?	.	5	punct
"	[]	Where was the sound coming from?	006536d7-2be3-49a4-a750-769684e952ed_Q2	006536d7-2be3-49a4-a750-769684e952ed
"(ROOT
  (SBARQ
    (WHNP (WP Who))
    (SQ (VBD was)
      (PP (IN in)
        (NP (DT the) (NN closet))))
    (. ?)))"	"Who	WP	5	nsubj
was	VBD	5	cop
in	IN	5	case
the	DT	5	det
closet	NN	0	ROOT
?	.	5	punct
"	[]	Who was in the closet?	006536d7-2be3-49a4-a750-769684e952ed_Q3	006536d7-2be3-49a4-a750-769684e952ed
"(ROOT
  (SBARQ
    (WHADVP (WRB Where))
    (SQ (VBD did)
      (NP (NNP Larry))
      (VP (VB work)))
    (. ?)))"	"Where	WRB	4	advmod
did	VBD	4	aux
Larry	NNP	4	nsubj
work	VB	0	ROOT
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Larry', 'characterOffsetBegin': 10, 'characterOffsetEnd': 15, 'ner': 'PERSON'}]"	Where did Larry work?	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
"(ROOT
  (SQ (VBD Was)
    (NP (NNP Larry))
    (ADJP (JJ fond)
      (PP (IN of)
        (NP (DT this) (NN job))))
    (. ?)))"	"Was	VBD	3	cop
Larry	NNP	3	compound
fond	JJ	0	ROOT
of	IN	6	case
this	DT	6	det
job	NN	3	nmod
?	.	3	punct
"	"[{'docTokenBegin': 1, 'docTokenEnd': 2, 'tokenBegin': 1, 'tokenEnd': 2, 'text': 'Larry', 'characterOffsetBegin': 4, 'characterOffsetEnd': 9, 'ner': 'PERSON'}]"	Was Larry fond of this job?	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q1	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
"(ROOT
  (SBARQ
    (WHADJP (WRB How) (JJ old))
    (SQ (VBZ is)
      (NP (NNP Larry)))
    (. ?)))"	"How	WRB	2	advmod
old	JJ	3	dep
is	VBZ	0	ROOT
Larry	NNP	3	nsubj
?	.	3	punct
"	"[{'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'Larry', 'characterOffsetBegin': 11, 'characterOffsetEnd': 16, 'ner': 'PERSON'}]"	How old is Larry?	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q2	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ
      (VP (VBD happened)
        (PP (IN at)
          (NP (DT the) (NN party)))))
    (. ?)))"	"What	WP	2	nsubj
happened	VBD	0	ROOT
at	IN	5	case
the	DT	5	det
party	NN	2	nmod
?	.	2	punct
"	[]	What happened at the party?	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q3	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
"(ROOT
  (SBARQ
    (WHNP (WP Who))
    (SQ
      (VP (VBD had)
        (NP (DT a) (JJ short) (NN temper))))
    (. ?)))"	"Who	WP	2	nsubj
had	VBD	0	ROOT
a	DT	5	det
short	JJ	5	amod
temper	NN	2	dobj
?	.	2	punct
"	[]	Who had a short temper?	0beabab2-fb49-460e-a6e6-f35a202e3348_Q0	0beabab2-fb49-460e-a6e6-f35a202e3348
"(ROOT
  (SBARQ
    (WHNP (WP Who))
    (SQ
      (VP (VBD made)
        (S
          (NP (NNP Tom))
          (ADJP (JJ angry)))))
    (. ?)))"	"Who	WP	2	nsubj
made	VBD	0	ROOT
Tom	NNP	4	nsubj
angry	JJ	2	xcomp
?	.	2	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Tom', 'characterOffsetBegin': 9, 'characterOffsetEnd': 12, 'ner': 'PERSON'}]"	Who made Tom angry?	0beabab2-fb49-460e-a6e6-f35a202e3348_Q1	0beabab2-fb49-460e-a6e6-f35a202e3348
