const_parse	dep_parse	ner	question	questionid	storyid
"(ROOT
  (SBARQ
    (WHADVP (WRB Why))
    (SQ (VBD did)
      (NP (NNP David))
      (VP (VB put)
        (PRT (RP on))
        (NP
          (NP (DT a) (NN lot))
          (PP (IN of)
            (NP
              (NP (NN weight))
              (ADVP (RB recently)))))))
    (. ?)))"	"Why	WRB	4	advmod
did	VBD	4	aux
David	NNP	4	nsubj
put	VB	0	ROOT
on	RP	4	compound:prt
a	DT	7	det
lot	NN	4	dobj
of	IN	9	case
weight	NN	7	nmod
recently	RB	4	advmod
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'David', 'characterOffsetBegin': 8, 'characterOffsetEnd': 13, 'ner': 'PERSON'}, {'docTokenBegin': 9, 'docTokenEnd': 10, 'tokenBegin': 9, 'tokenEnd': 10, 'text': 'recently', 'characterOffsetBegin': 37, 'characterOffsetEnd': 45, 'ner': 'DATE', 'normalizedNER': 'PAST_REF', 'timex': {'tid': 't1', 'type': 'DATE', 'value': 'PAST_REF'}}]"	Why did David put on a lot of weight recently?	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_Q0	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ (VBD did)
      (NP (NNP David))
      (VP (VB do)
        (PP (RB instead) (IN of)
          (S
            (VP (VBG going)
              (PP (TO to)
                (NP (NN burger) (NNS places))))))))
    (. ?)))"	"What	WP	4	dobj
did	VBD	4	aux
David	NNP	4	nsubj
do	VB	0	ROOT
instead	RB	7	mark
of	IN	5	mwe
going	VBG	4	advcl
to	TO	10	case
burger	NN	10	compound
places	NNS	7	nmod
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'David', 'characterOffsetBegin': 9, 'characterOffsetEnd': 14, 'ner': 'PERSON'}]"	What did David do instead of going to burger places?	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_Q1	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
"(ROOT
  (SBARQ
    (WHADVP (WRB When))
    (SQ (VBD did)
      (NP (NNP David))
      (VP (VB start)
        (S
          (VP (TO to)
            (VP (VB feel)
              (ADJP (RB much) (JJR better)))))))
    (. ?)))"	"When	WRB	4	advmod
did	VBD	4	aux
David	NNP	4	nsubj
start	VB	0	ROOT
to	TO	6	mark
feel	VB	4	xcomp
much	RB	8	advmod
better	JJR	6	advmod
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'David', 'characterOffsetBegin': 9, 'characterOffsetEnd': 14, 'ner': 'PERSON'}]"	When did David start to feel much better?	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_Q2	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
"(ROOT
  (SBARQ
    (WHNP (WP Who))
    (SQ (VBD was)
      (NP (NNP David))
      (VP (VBN married)
        (S
          (VP (TO to)))))
    (. ?)))"	"Who	WP	4	dobj
was	VBD	1	cop
David	NNP	4	nsubj
married	VBN	0	ROOT
to	TO	4	nmod
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'David', 'characterOffsetBegin': 8, 'characterOffsetEnd': 13, 'ner': 'PERSON'}]"	Who was David married to?	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_Q3	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd
"(ROOT
  (SBARQ
    (WHNP (WP Who))
    (SQ
      (VP (VBD had)
        (NP (DT a) (JJ short) (NN temper))))
    (. ?)))"	"Who	WP	2	nsubj
had	VBD	0	ROOT
a	DT	5	det
short	JJ	5	amod
temper	NN	2	dobj
?	.	2	punct
"	[]	Who had a short temper?	0beabab2-fb49-460e-a6e6-f35a202e3348_Q0	0beabab2-fb49-460e-a6e6-f35a202e3348
"(ROOT
  (SBARQ
    (WHNP (WP Who))
    (SQ
      (VP (VBD made)
        (S
          (NP (NNP Tom))
          (ADJP (JJ angry)))))
    (. ?)))"	"Who	WP	2	nsubj
made	VBD	0	ROOT
Tom	NNP	4	nsubj
angry	JJ	2	xcomp
?	.	2	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Tom', 'characterOffsetBegin': 9, 'characterOffsetEnd': 12, 'ner': 'PERSON'}]"	Who made Tom angry?	0beabab2-fb49-460e-a6e6-f35a202e3348_Q1	0beabab2-fb49-460e-a6e6-f35a202e3348
"(ROOT
  (SBARQ
    (WHNP (WP What))
    (SQ
      (VP (VBD happened)
        (SBAR
          (WHADVP (WRB when))
          (S
            (NP (NNP Tom))
            (VP (VBD got)
              (ADJP (JJ angry)))))))
    (. ?)))"	"What	WP	2	nsubj
happened	VBD	0	ROOT
when	WRB	5	advmod
Tom	NNP	5	nsubj
got	VBD	2	advcl
angry	JJ	5	xcomp
?	.	2	punct
"	"[{'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'Tom', 'characterOffsetBegin': 19, 'characterOffsetEnd': 22, 'ner': 'PERSON'}]"	What happened when Tom got angry?	0beabab2-fb49-460e-a6e6-f35a202e3348_Q2	0beabab2-fb49-460e-a6e6-f35a202e3348
"(ROOT
  (SBARQ
    (WHADVP (WRB How))
    (SQ (VBD did)
      (NP (NNP Tom))
      (VP (VB feel)
        (SBAR (IN after)
          (S
            (NP (PRP he))
            (VP (VBD scared)
              (NP (PRP$ his) (NN guest)))))))
    (. ?)))"	"How	WRB	4	advmod
did	VBD	4	aux
Tom	NNP	4	nsubj
feel	VB	0	ROOT
after	IN	7	mark
he	PRP	7	nsubj
scared	VBD	4	advcl
his	PRP$	9	nmod:poss
guest	NN	7	dobj
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Tom', 'characterOffsetBegin': 8, 'characterOffsetEnd': 11, 'ner': 'PERSON'}, {'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'he', 'characterOffsetBegin': 23, 'characterOffsetEnd': 25, 'ner': 'PERSON'}, {'docTokenBegin': 7, 'docTokenEnd': 8, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'his', 'characterOffsetBegin': 33, 'characterOffsetEnd': 36, 'ner': 'PERSON'}]"	How did Tom feel after he scared his guest?	0beabab2-fb49-460e-a6e6-f35a202e3348_Q3	0beabab2-fb49-460e-a6e6-f35a202e3348
"(ROOT
  (SBARQ
    (WHADVP (WRB Why))
    (SQ (VBD did)
      (NP (NNP Marcus))
      (VP (VB need)
        (NP (NN clothing))
        (PP (IN for)
          (NP (DT a) (NN business) (JJ casual) (NN event)))))
    (. ?)))"	"Why	WRB	4	advmod
did	VBD	4	aux
Marcus	NNP	4	nsubj
need	VB	0	ROOT
clothing	NN	4	dobj
for	IN	10	case
a	DT	10	det
business	NN	10	compound
casual	JJ	10	amod
event	NN	4	nmod
?	.	4	punct
"	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Marcus', 'characterOffsetBegin': 8, 'characterOffsetEnd': 14, 'ner': 'PERSON'}]"	Why did Marcus need clothing for a business casual event?	87da1a22-df0b-410c-b186-439700b70ba6_Q0	87da1a22-df0b-410c-b186-439700b70ba6
"(ROOT
  (SBARQ
    (WHNP (WDT What) (NN color))
    (SQ (VBD were)
      (NP
        (NP (NNP Andy) (POS 's))
        (NNS khakis)))
    (. ?)))"	"What	WDT	2	det
color	NN	3	dobj
were	VBD	0	ROOT
Andy	NNP	6	nmod:poss
's	POS	4	case
khakis	NNS	3	nsubj
?	.	3	punct
"	"[{'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'Andy', 'characterOffsetBegin': 16, 'characterOffsetEnd': 20, 'ner': 'PERSON'}]"	What color were Andy's khakis?	87da1a22-df0b-410c-b186-439700b70ba6_Q1	87da1a22-df0b-410c-b186-439700b70ba6
