question	questionid	storyid	ner
When did they wake?	006536d7-2be3-49a4-a750-769684e952ed_Q0	006536d7-2be3-49a4-a750-769684e952ed	[]
What did they hear?	006536d7-2be3-49a4-a750-769684e952ed_Q1	006536d7-2be3-49a4-a750-769684e952ed	[]
Where was the sound coming from?	006536d7-2be3-49a4-a750-769684e952ed_Q2	006536d7-2be3-49a4-a750-769684e952ed	[]
Who was in the closet?	006536d7-2be3-49a4-a750-769684e952ed_Q3	006536d7-2be3-49a4-a750-769684e952ed	[]
Where did Larry work?	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Larry', 'characterOffsetBegin': 10, 'characterOffsetEnd': 15, 'ner': 'PERSON'}]"
Was Larry fond of this job?	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q1	04c164f6-da41-48a3-8aa3-eb7b650bb5f0	"[{'docTokenBegin': 1, 'docTokenEnd': 2, 'tokenBegin': 1, 'tokenEnd': 2, 'text': 'Larry', 'characterOffsetBegin': 4, 'characterOffsetEnd': 9, 'ner': 'PERSON'}]"
How old is Larry?	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q2	04c164f6-da41-48a3-8aa3-eb7b650bb5f0	"[{'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'Larry', 'characterOffsetBegin': 11, 'characterOffsetEnd': 16, 'ner': 'PERSON'}]"
What happened at the party?	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q3	04c164f6-da41-48a3-8aa3-eb7b650bb5f0	[]
Who had a short temper?	0beabab2-fb49-460e-a6e6-f35a202e3348_Q0	0beabab2-fb49-460e-a6e6-f35a202e3348	[]
Who made Tom angry?	0beabab2-fb49-460e-a6e6-f35a202e3348_Q1	0beabab2-fb49-460e-a6e6-f35a202e3348	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Tom', 'characterOffsetBegin': 9, 'characterOffsetEnd': 12, 'ner': 'PERSON'}]"
What happened when Tom got angry?	0beabab2-fb49-460e-a6e6-f35a202e3348_Q2	0beabab2-fb49-460e-a6e6-f35a202e3348	"[{'docTokenBegin': 3, 'docTokenEnd': 4, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'Tom', 'characterOffsetBegin': 19, 'characterOffsetEnd': 22, 'ner': 'PERSON'}]"
How did Tom feel after he scared his guest?	0beabab2-fb49-460e-a6e6-f35a202e3348_Q3	0beabab2-fb49-460e-a6e6-f35a202e3348	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Tom', 'characterOffsetBegin': 8, 'characterOffsetEnd': 11, 'ner': 'PERSON'}, {'docTokenBegin': 5, 'docTokenEnd': 6, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'he', 'characterOffsetBegin': 23, 'characterOffsetEnd': 25, 'ner': 'PERSON'}, {'docTokenBegin': 7, 'docTokenEnd': 8, 'tokenBegin': 7, 'tokenEnd': 8, 'text': 'his', 'characterOffsetBegin': 33, 'characterOffsetEnd': 36, 'ner': 'PERSON'}]"
What had Jane gotten?	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q0	0dd3e2c3-3ea4-450a-97c4-42a54c426018	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Jane', 'characterOffsetBegin': 9, 'characterOffsetEnd': 13, 'ner': 'PERSON'}]"
What was Jane nervous about?	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q1	0dd3e2c3-3ea4-450a-97c4-42a54c426018	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'she', 'characterOffsetBegin': 9, 'characterOffsetEnd': 12, 'ner': 'PERSON'}]"
When did Jane arrive at work?	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q2	0dd3e2c3-3ea4-450a-97c4-42a54c426018	"[{'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'Jane', 'characterOffsetBegin': 9, 'characterOffsetEnd': 13, 'ner': 'PERSON'}]"
How was Jane's first day at work?	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q3	0dd3e2c3-3ea4-450a-97c4-42a54c426018	"[{'docTokenBegin': 3, 'docTokenEnd': 5, 'tokenBegin': 3, 'tokenEnd': 5, 'text': 'first day', 'characterOffsetBegin': 12, 'characterOffsetEnd': 21, 'ner': 'DATE', 'normalizedNER': 'P1D-#1', 'timex': {'tid': 't1', 'type': 'DATE', 'altValue': 'P1D-#1'}}, {'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'her', 'characterOffsetBegin': 8, 'characterOffsetEnd': 11, 'ner': 'PERSON'}]"
When did I get Charlie horse?	110fafd1-2bb7-4ffe-aac7-475706165d41_Q0	110fafd1-2bb7-4ffe-aac7-475706165d41	"[{'docTokenBegin': 4, 'docTokenEnd': 5, 'tokenBegin': 4, 'tokenEnd': 5, 'text': 'Charlie', 'characterOffsetBegin': 15, 'characterOffsetEnd': 22, 'ner': 'PERSON'}]"
