sentence	sentenceid	storyid	storytitle	ner
David noticed he had put on a lot of weight recently.	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_0	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'David', 'characterOffsetBegin': 0, 'characterOffsetEnd': 5, 'ner': 'PERSON'}, {'docTokenBegin': 10, 'docTokenEnd': 11, 'tokenBegin': 10, 'tokenEnd': 11, 'text': 'recently', 'characterOffsetBegin': 44, 'characterOffsetEnd': 52, 'ner': 'DATE', 'normalizedNER': 'PAST_REF', 'timex': {'tid': 't1', 'type': 'DATE', 'value': 'PAST_REF'}}, {'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'he', 'characterOffsetBegin': 14, 'characterOffsetEnd': 16, 'ner': 'PERSON'}]"
He examined his habits to try and figure out the reason. 	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_1	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight	"[{'docTokenBegin': 12, 'docTokenEnd': 13, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 54, 'characterOffsetEnd': 56, 'ner': 'PERSON'}, {'docTokenBegin': 14, 'docTokenEnd': 15, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'his', 'characterOffsetBegin': 66, 'characterOffsetEnd': 69, 'ner': 'PERSON'}]"
He realized he'd been eating too much fast food lately. 	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_2	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight	"[{'docTokenBegin': 24, 'docTokenEnd': 25, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 112, 'characterOffsetEnd': 114, 'ner': 'PERSON'}, {'docTokenBegin': 26, 'docTokenEnd': 27, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'he', 'characterOffsetBegin': 124, 'characterOffsetEnd': 126, 'ner': 'PERSON'}]"
He stopped going to burger places and started a vegetarian diet.	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_3	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight	"[{'docTokenBegin': 36, 'docTokenEnd': 37, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 169, 'characterOffsetEnd': 171, 'ner': 'PERSON'}]"
"After a few weeks, he started to feel much better."	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_4	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight	"[{'docTokenBegin': 49, 'docTokenEnd': 52, 'tokenBegin': 1, 'tokenEnd': 4, 'text': 'a few weeks', 'characterOffsetBegin': 240, 'characterOffsetEnd': 251, 'ner': 'DURATION', 'normalizedNER': 'PXW', 'timex': {'tid': 't2', 'type': 'DURATION', 'value': 'PXW'}}, {'docTokenBegin': 53, 'docTokenEnd': 54, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'he', 'characterOffsetBegin': 253, 'characterOffsetEnd': 255, 'ner': 'PERSON'}]"
Tom had a very short temper.	0beabab2-fb49-460e-a6e6-f35a202e3348_0	0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Tom', 'characterOffsetBegin': 0, 'characterOffsetEnd': 3, 'ner': 'PERSON'}]"
One day a guest made him very angry.	0beabab2-fb49-460e-a6e6-f35a202e3348_1	0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration	"[{'docTokenBegin': 7, 'docTokenEnd': 9, 'tokenBegin': 0, 'tokenEnd': 2, 'text': 'One day', 'characterOffsetBegin': 29, 'characterOffsetEnd': 36, 'ner': 'DURATION', 'normalizedNER': 'P1D', 'timex': {'tid': 't1', 'type': 'DURATION', 'value': 'P1D'}}, {'docTokenBegin': 12, 'docTokenEnd': 13, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'him', 'characterOffsetBegin': 50, 'characterOffsetEnd': 53, 'ner': 'PERSON'}]"
He punched a hole in the wall of his house.	0beabab2-fb49-460e-a6e6-f35a202e3348_2	0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration	"[{'docTokenBegin': 16, 'docTokenEnd': 17, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 66, 'characterOffsetEnd': 68, 'ner': 'PERSON'}, {'docTokenBegin': 24, 'docTokenEnd': 25, 'tokenBegin': 8, 'tokenEnd': 9, 'text': 'his', 'characterOffsetBegin': 99, 'characterOffsetEnd': 102, 'ner': 'PERSON'}]"
Tom's guest became afraid and left quickly.	0beabab2-fb49-460e-a6e6-f35a202e3348_3	0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration	"[{'docTokenBegin': 27, 'docTokenEnd': 28, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Tom', 'characterOffsetBegin': 110, 'characterOffsetEnd': 113, 'ner': 'PERSON'}]"
Tom sat on his couch filled with regret about his actions.	0beabab2-fb49-460e-a6e6-f35a202e3348_4	0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration	"[{'docTokenBegin': 36, 'docTokenEnd': 37, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Tom', 'characterOffsetBegin': 154, 'characterOffsetEnd': 157, 'ner': 'PERSON'}, {'docTokenBegin': 39, 'docTokenEnd': 40, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'his', 'characterOffsetBegin': 165, 'characterOffsetEnd': 168, 'ner': 'PERSON'}, {'docTokenBegin': 45, 'docTokenEnd': 46, 'tokenBegin': 9, 'tokenEnd': 10, 'text': 'his', 'characterOffsetBegin': 200, 'characterOffsetEnd': 203, 'ner': 'PERSON'}]"
