const_parse	dep_parse	ner	sentence	sentenceid	storyid	storytitle
"(ROOT
  (S
    (NP (NNP David))
    (VP (VBD noticed)
      (SBAR
        (S
          (NP (PRP he))
          (VP (VBD had)
            (VP (VBN put)
              (PP (IN on)
                (NP
                  (NP (DT a) (NN lot))
                  (PP (IN of)
                    (NP (NN weight)))))
              (ADVP (RB recently)))))))
    (. .)))"	"David	NNP	2	nsubj
noticed	VBD	0	ROOT
he	PRP	5	nsubj
had	VBD	5	aux
put	VBN	2	ccomp
on	IN	8	case
a	DT	8	det
lot	NN	5	nmod
of	IN	10	case
weight	NN	8	nmod
recently	RB	5	advmod
.	.	2	punct
"	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'David', 'characterOffsetBegin': 0, 'characterOffsetEnd': 5, 'ner': 'PERSON'}, {'docTokenBegin': 10, 'docTokenEnd': 11, 'tokenBegin': 10, 'tokenEnd': 11, 'text': 'recently', 'characterOffsetBegin': 44, 'characterOffsetEnd': 52, 'ner': 'DATE', 'normalizedNER': 'PAST_REF', 'timex': {'tid': 't1', 'type': 'DATE', 'value': 'PAST_REF'}}, {'docTokenBegin': 2, 'docTokenEnd': 3, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'he', 'characterOffsetBegin': 14, 'characterOffsetEnd': 16, 'ner': 'PERSON'}]"	David noticed he had put on a lot of weight recently.	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_0	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight
"(ROOT
  (S
    (NP (PRP He))
    (VP (VBD examined)
      (NP (PRP$ his) (NNS habits))
      (S
        (VP (TO to)
          (VP
            (VP (VB try))
            (CC and)
            (VP (VB figure)
              (PRT (RP out))
              (NP (DT the) (NN reason)))))))
    (. .)))"	"He	PRP	2	nsubj
examined	VBD	0	ROOT
his	PRP$	4	nmod:poss
habits	NNS	2	dobj
to	TO	6	mark
try	VB	2	xcomp
and	CC	6	cc
figure	VB	6	conj
out	RP	8	compound:prt
the	DT	11	det
reason	NN	6	dobj
.	.	2	punct
"	"[{'docTokenBegin': 12, 'docTokenEnd': 13, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 54, 'characterOffsetEnd': 56, 'ner': 'PERSON'}, {'docTokenBegin': 14, 'docTokenEnd': 15, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'his', 'characterOffsetBegin': 66, 'characterOffsetEnd': 69, 'ner': 'PERSON'}]"	He examined his habits to try and figure out the reason. 	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_1	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight
"(ROOT
  (S
    (NP (PRP He))
    (VP (VBD realized)
      (SBAR
        (S
          (NP (PRP he))
          (VP (MD 'd)
            (VP (VBN been)
              (VP (VBG eating)
                (NP (RB too) (JJ much) (JJ fast) (NN food))
                (ADVP (RB lately))))))))
    (. .)))"	"He	PRP	2	nsubj
realized	VBD	0	ROOT
he	PRP	6	nsubj
'd	MD	6	aux
been	VBN	6	aux
eating	VBG	2	ccomp
too	RB	8	advmod
much	JJ	10	amod
fast	JJ	10	amod
food	NN	6	dobj
lately	RB	6	advmod
.	.	2	punct
"	"[{'docTokenBegin': 24, 'docTokenEnd': 25, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 112, 'characterOffsetEnd': 114, 'ner': 'PERSON'}, {'docTokenBegin': 26, 'docTokenEnd': 27, 'tokenBegin': 2, 'tokenEnd': 3, 'text': 'he', 'characterOffsetBegin': 124, 'characterOffsetEnd': 126, 'ner': 'PERSON'}]"	He realized he'd been eating too much fast food lately. 	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_2	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight
"(ROOT
  (S
    (NP (PRP He))
    (VP
      (VP (VBD stopped)
        (S
          (VP (VBG going)
            (PP (TO to)
              (NP (NN burger) (NNS places))))))
      (CC and)
      (VP (VBD started)
        (NP (DT a) (JJ vegetarian) (NN diet))))
    (. .)))"	"He	PRP	2	nsubj
stopped	VBD	0	ROOT
going	VBG	2	xcomp
to	TO	6	case
burger	NN	6	compound
places	NNS	3	nmod
and	CC	2	cc
started	VBD	2	conj
a	DT	11	det
vegetarian	JJ	11	amod
diet	NN	8	dobj
.	.	2	punct
"	"[{'docTokenBegin': 36, 'docTokenEnd': 37, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 169, 'characterOffsetEnd': 171, 'ner': 'PERSON'}]"	He stopped going to burger places and started a vegetarian diet.	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_3	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight
"(ROOT
  (S
    (PP (IN After)
      (NP (DT a) (JJ few) (NNS weeks)))
    (, ,)
    (NP (PRP he))
    (VP (VBD started)
      (S
        (VP (TO to)
          (VP (VB feel)
            (ADJP (RB much) (JJR better))))))
    (. .)))"	"After	IN	4	case
a	DT	4	det
few	JJ	4	amod
weeks	NNS	7	nmod
,	,	7	punct
he	PRP	7	nsubj
started	VBD	0	ROOT
to	TO	9	mark
feel	VB	7	xcomp
much	RB	11	advmod
better	JJR	9	xcomp
.	.	7	punct
"	"[{'docTokenBegin': 49, 'docTokenEnd': 52, 'tokenBegin': 1, 'tokenEnd': 4, 'text': 'a few weeks', 'characterOffsetBegin': 240, 'characterOffsetEnd': 251, 'ner': 'DURATION', 'normalizedNER': 'PXW', 'timex': {'tid': 't2', 'type': 'DURATION', 'value': 'PXW'}}, {'docTokenBegin': 53, 'docTokenEnd': 54, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'he', 'characterOffsetBegin': 253, 'characterOffsetEnd': 255, 'ner': 'PERSON'}]"	"After a few weeks, he started to feel much better."	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd_4	8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd	David Drops the Weight
"(ROOT
  (S
    (NP (NNP Tom))
    (VP (VBD had)
      (NP (DT a)
        (ADJP (RB very) (JJ short))
        (NN temper)))
    (. .)))"	"Tom	NNP	2	nsubj
had	VBD	0	ROOT
a	DT	6	det
very	RB	5	advmod
short	JJ	6	amod
temper	NN	2	dobj
.	.	2	punct
"	"[{'docTokenBegin': 0, 'docTokenEnd': 1, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Tom', 'characterOffsetBegin': 0, 'characterOffsetEnd': 3, 'ner': 'PERSON'}]"	Tom had a very short temper.	0beabab2-fb49-460e-a6e6-f35a202e3348_0	0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration
"(ROOT
  (S
    (NP-TMP (CD One) (NN day))
    (NP (DT a) (NN guest))
    (VP (VBD made)
      (S
        (NP (PRP him))
        (ADJP (RB very) (JJ angry))))
    (. .)))"	"One	CD	2	nummod
day	NN	5	nmod:tmod
a	DT	4	det
guest	NN	5	nsubj
made	VBD	0	ROOT
him	PRP	8	nsubj
very	RB	8	advmod
angry	JJ	5	xcomp
.	.	5	punct
"	"[{'docTokenBegin': 7, 'docTokenEnd': 9, 'tokenBegin': 0, 'tokenEnd': 2, 'text': 'One day', 'characterOffsetBegin': 29, 'characterOffsetEnd': 36, 'ner': 'DURATION', 'normalizedNER': 'P1D', 'timex': {'tid': 't1', 'type': 'DURATION', 'value': 'P1D'}}, {'docTokenBegin': 12, 'docTokenEnd': 13, 'tokenBegin': 5, 'tokenEnd': 6, 'text': 'him', 'characterOffsetBegin': 50, 'characterOffsetEnd': 53, 'ner': 'PERSON'}]"	One day a guest made him very angry.	0beabab2-fb49-460e-a6e6-f35a202e3348_1	0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration
"(ROOT
  (S
    (NP (PRP He))
    (VP (VBD punched)
      (NP (DT a) (NN hole))
      (PP (IN in)
        (NP
          (NP (DT the) (NN wall))
          (PP (IN of)
            (NP (PRP$ his) (NN house))))))
    (. .)))"	"He	PRP	2	nsubj
punched	VBD	0	ROOT
a	DT	4	det
hole	NN	2	dobj
in	IN	7	case
the	DT	7	det
wall	NN	4	nmod
of	IN	10	case
his	PRP$	10	nmod:poss
house	NN	7	nmod
.	.	2	punct
"	"[{'docTokenBegin': 16, 'docTokenEnd': 17, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'He', 'characterOffsetBegin': 66, 'characterOffsetEnd': 68, 'ner': 'PERSON'}, {'docTokenBegin': 24, 'docTokenEnd': 25, 'tokenBegin': 8, 'tokenEnd': 9, 'text': 'his', 'characterOffsetBegin': 99, 'characterOffsetEnd': 102, 'ner': 'PERSON'}]"	He punched a hole in the wall of his house.	0beabab2-fb49-460e-a6e6-f35a202e3348_2	0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration
"(ROOT
  (S
    (NP
      (NP (NNP Tom) (POS 's))
      (NN guest))
    (VP
      (VP (VBD became)
        (S
          (ADJP (JJ afraid))))
      (CC and)
      (VP (VBD left)
        (ADVP (RB quickly))))
    (. .)))"	"Tom	NNP	3	nmod:poss
's	POS	1	case
guest	NN	4	nsubj
became	VBD	0	ROOT
afraid	JJ	4	xcomp
and	CC	4	cc
left	VBD	4	conj
quickly	RB	7	advmod
.	.	4	punct
"	"[{'docTokenBegin': 27, 'docTokenEnd': 28, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Tom', 'characterOffsetBegin': 110, 'characterOffsetEnd': 113, 'ner': 'PERSON'}]"	Tom's guest became afraid and left quickly.	0beabab2-fb49-460e-a6e6-f35a202e3348_3	0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration
"(ROOT
  (S
    (NP (NNP Tom))
    (VP (VBD sat)
      (PP (IN on)
        (NP
          (NP (PRP$ his) (NN couch))
          (VP (VBN filled)
            (PP (IN with)
              (NP
                (NP (NN regret))
                (PP (IN about)
                  (NP (PRP$ his) (NNS actions)))))))))
    (. .)))"	"Tom	NNP	2	nsubj
sat	VBD	0	ROOT
on	IN	5	case
his	PRP$	5	nmod:poss
couch	NN	2	nmod
filled	VBN	5	acl
with	IN	8	case
regret	NN	6	nmod
about	IN	11	case
his	PRP$	11	nmod:poss
actions	NNS	8	nmod
.	.	2	punct
"	"[{'docTokenBegin': 36, 'docTokenEnd': 37, 'tokenBegin': 0, 'tokenEnd': 1, 'text': 'Tom', 'characterOffsetBegin': 154, 'characterOffsetEnd': 157, 'ner': 'PERSON'}, {'docTokenBegin': 39, 'docTokenEnd': 40, 'tokenBegin': 3, 'tokenEnd': 4, 'text': 'his', 'characterOffsetBegin': 165, 'characterOffsetEnd': 168, 'ner': 'PERSON'}, {'docTokenBegin': 45, 'docTokenEnd': 46, 'tokenBegin': 9, 'tokenEnd': 10, 'text': 'his', 'characterOffsetBegin': 200, 'characterOffsetEnd': 203, 'ner': 'PERSON'}]"	Tom sat on his couch filled with regret about his actions.	0beabab2-fb49-460e-a6e6-f35a202e3348_4	0beabab2-fb49-460e-a6e6-f35a202e3348	Frustration
